subject_id,property_id,object_id,reference_uri,reference_supporting_text,reference_date,property_label,property_description,property_uri
iuphar.ligand:310,RO:0002408,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.1186449967247398,http://purl.obolibrary.org/obo/RO_0002408
drugbank:DB02010,RO:0011002,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 0.0348955872719823,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:290,RO:0002406,hgnc:20,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.1483062459059248,http://purl.obolibrary.org/obo/RO_0002406
rxcui:4492,RO:0011002,hgnc:6990,https://pubmed.ncbi.nlm.nih.gov/21635146,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 0.2250163730986445,http://purl.obolibrary.org/obo/RO_0011002
rxcui:7005,RO:0011002,hgnc:6990,https://pubmed.ncbi.nlm.nih.gov/21635146,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0011002
rxcui:2632852,RO:0011002,hgnc:6990,NA,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 4.350316546573794,http://purl.obolibrary.org/obo/RO_0011002
rxcui:2555,RO:0011002,hgnc:6990,https://pubmed.ncbi.nlm.nih.gov/21635146,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 0.1775639406764814,http://purl.obolibrary.org/obo/RO_0011002
ncit:C79860,RO:0002408,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0002408
ncit:C174617,RO:0002406,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,positive modulator,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0002406
rxcui:38404,RO:0002408,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.0539295439657908,http://purl.obolibrary.org/obo/RO_0002408
ncit:C38139,RO:0011002,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:9085,RO:0002408,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 2.372899934494797,http://purl.obolibrary.org/obo/RO_0002408
ncit:C77316,RO:0002408,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.5273110965543993,http://purl.obolibrary.org/obo/RO_0002408
ncit:C166510,RO:0002408,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.4745799868989593,http://purl.obolibrary.org/obo/RO_0002408
chembl:CHEMBL3707399,RO:0002406,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,positive modulator,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0002406
rxcui:1356552,RO:0002408,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 1.779674950871097,http://purl.obolibrary.org/obo/RO_0002408
chembl:CHEMBL3707401,RO:0002406,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,positive modulator,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0002406
chembl:CHEMBL4791762,RO:0011002,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0011002
ncit:C65620,RO:0002406,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,positive modulator,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0002406
ncit:C203197,RO:0002406,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,positive modulator,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:9084,RO:0002408,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 2.372899934494797,http://purl.obolibrary.org/obo/RO_0002408
ncit:C65960,RO:0002408,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.169492852463914,http://purl.obolibrary.org/obo/RO_0002408
ncit:C1674,RO:0011002,hgnc:4574,https://pubmed.ncbi.nlm.nih.gov/7595547,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 0.4314363517263267,http://purl.obolibrary.org/obo/RO_0011002
ncit:C152963,RO:0002408,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0002408
ncit:C1316,RO:0011002,hgnc:4574,https://pubmed.ncbi.nlm.nih.gov/9502201,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 0.2372899934494796,http://purl.obolibrary.org/obo/RO_0011002
chembl:CHEMBL3545042,RO:0011002,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0011002
ncit:C152327,RO:0002408,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.2636555482771996,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:12232,RO:0002408,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 1.186449967247398,http://purl.obolibrary.org/obo/RO_0002408
ncit:C186393,RO:0002406,hgnc:4574,NA,This edge comes from the DGIdb 5.0.,2025-10-21,positive modulator,interaction score = 0.5932249836236992,http://purl.obolibrary.org/obo/RO_0002406
iuphar.ligand:8213,RO:0002408,hgnc:3061,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 1.305094963972138,http://purl.obolibrary.org/obo/RO_0002408
ncit:C95729,RO:0002408,hgnc:3061,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.6525474819860692,http://purl.obolibrary.org/obo/RO_0002408
rxcui:1310469,RO:0011002,hgnc:3061,https://pubmed.ncbi.nlm.nih.gov/11923581,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 0.1652018941736883,http://purl.obolibrary.org/obo/RO_0011002
rxcui:4492,RO:0011002,hgnc:3061,https://pubmed.ncbi.nlm.nih.gov/15067352,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 0.1125081865493222,http://purl.obolibrary.org/obo/RO_0011002
rxcui:11413,RO:0011002,hgnc:3061,https://pubmed.ncbi.nlm.nih.gov/22960662,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 0.483368505174866,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:12249,RO:0002408,hgnc:3061,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 1.631368704965172,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:11791,RO:0002408,hgnc:3061,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 2.175158273286897,http://purl.obolibrary.org/obo/RO_0002408
rxcui:59763,RO:0011002,hgnc:3061,https://pubmed.ncbi.nlm.nih.gov/15134538,This edge comes from the DGIdb 5.0.,2025-10-21,NA,interaction score = 1.003919203055491,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:6345,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:6362,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:6338,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:1376,RO:0002408,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,inhibitor,interaction score = 0.5437895683217243,http://purl.obolibrary.org/obo/RO_0002408
iuphar.ligand:6354,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:10009,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:6358,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:6213,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:6357,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:1391,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:1382,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:3953,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 2.175158273286897,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:1389,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:6341,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:6212,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:3346,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:3347,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:6363,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
iuphar.ligand:6346,RO:0011002,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,modulator,interaction score = 1.087579136643448,http://purl.obolibrary.org/obo/RO_0011002
rxcui:25916,RO:0002406,hgnc:4593,NA,This edge comes from the DGIdb 5.0.,2025-10-21,agonist,interaction score = 0.1087579136643448,http://purl.obolibrary.org/obo/RO_0002406
